week,home_team_id,away_team_id,home_team_name,away_team_name,home_score,away_score
10,9822654,9769365,Total System Control (TSC),Frands (FRA),,
10,9769354,9822655,RFA (RFA),Not Anyone Can Frag (NCF),,
10,9769365,9822640,Frands (FRA),Bona Fide (BF),,
10,9822641,9769353,I Remember Cal (IRC),You Know The Vibes (YKV),,
10,9823963,9769352,Sussy Baka (SSB),Brain Bots (BRB),0,0
10,9769365,9769354,Frands (FRA),RFA (RFA),,
10,9769356,9769358,WAIFU (WAF),Trash Pandas (TP),0,0
10,9769352,9822654,Brain Bots (BRB),Total System Control (TSC),,
10,9822656,9822637,Fake Flashers (FF),Nox Nieman (NOX),,
10,9822639,9823963,Plebmobile (PLE),Sussy Baka (SSB),0,0
10,9769358,9822638,Trash Pandas (TP),Ript Gaming (RG),0,0
10,9823963,9822641,Sussy Baka (SSB),I Remember Cal (IRC),0,0
11,9769355,9822641,Collective Chaos (CC),I Remember Cal (IRC),,
11,9822656,9822638,Fake Flashers (FF),Ript Gaming (RG),,
11,9822640,9769365,Bona Fide (BF),Frands (FRA),,
11,9822639,9769358,Plebmobile (PLE),Trash Pandas (TP),0,0
11,9822641,9822654,I Remember Cal (IRC),Total System Control (TSC),,
11,9822637,9769352,Nox Nieman (NOX),Brain Bots (BRB),,
11,9822636,9769353,Teen Titans (TT),You Know The Vibes (YKV),,
11,9769356,9822655,WAIFU (WAF),Not Anyone Can Frag (NCF),,
11,9769352,9822637,Brain Bots (BRB),Nox Nieman (NOX),,
11,9822656,9822636,Fake Flashers (FF),Teen Titans (TT),,
11,9769356,9769355,WAIFU (WAF),Collective Chaos (CC),,
11,9822654,9822637,Total System Control (TSC),Nox Nieman (NOX),,
11,9822638,9822654,Ript Gaming (RG),Total System Control (TSC),,
11,9822641,9769354,I Remember Cal (IRC),RFA (RFA),,
11,9823963,9769354,Sussy Baka (SSB),RFA (RFA),0,0
11,9769358,9822640,Trash Pandas (TP),Bona Fide (BF),0,0
11,9769365,9769353,Frands (FRA),You Know The Vibes (YKV),,
11,9823963,9822655,Sussy Baka (SSB),Not Anyone Can Frag (NCF),0,0
12,9769358,9769356,Trash Pandas (TP),WAIFU (WAF),0,0
